I 0 1.00125 Investment0
I 2 1.1933 Investment2
I 4 1.58501 Investment4
I 6 1.35029 Investment6
I 8 1.82284 Investment8
I 10 1.17411 Investment10
I 11 1.85894 Investment11
I 12 1.7105 Investment12
I 13 1.51353 Investment13
I 14 1.30399 Investment14
I 15 1.01498 Investment15
I 16 1.0914 Investment16
I 17 1.36445 Investment17
I 18 1.14731 Investment18
I 19 1.1659 Investment19
C 0 0 10.95
C 0 2 -0.0089114
C 0 4 0.601764
C 0 6 -0.450789
C 0 8 0.783319
C 0 10 0.875973
C 0 11 0.955901
C 0 12 -0.539354
C 0 13 -0.462081
C 0 14 -0.862239
C 0 15 0.779656
C 0 16 0.996796
C 0 17 -0.611499
C 0 18 -0.266213
C 0 19 -0.840144
C 2 2 9.54527
C 2 4 0.141575
C 2 6 -0.426557
C 2 8 0.153233
C 2 10 -0.191351
C 2 11 -0.817194
C 2 12 0.155553
C 2 13 -0.732017
C 2 14 0.27958
C 2 15 0.682241
C 2 16 -0.721915
C 2 17 -0.12302
C 2 18 -0.834681
C 2 19 0.517014
C 4 4 8.9361
C 4 6 -0.286081
C 4 8 0.83462
C 4 10 -0.252724
C 4 11 -0.00161748
C 4 12 0.806238
C 4 13 -0.210578
C 4 14 -0.553209
C 4 15 -0.113773
C 4 16 0.75222
C 4 17 -0.543443
C 4 18 -0.43672
C 4 19 -0.696219
C 6 6 11.0518
C 6 8 0.854793
C 6 10 -0.565752
C 6 11 0.184271
C 6 12 0.555132
C 6 13 -0.242866
C 6 14 0.604724
C 6 15 -0.584613
C 6 16 -0.494461
C 6 17 0.740745
C 6 18 0.62038
C 6 19 -0.804529
C 8 8 11.0092
C 8 10 -0.737999
C 8 11 0.826685
C 8 12 0.873348
C 8 13 0.300058
C 8 14 -0.127232
C 8 15 0.784967
C 8 16 0.609638
C 8 17 0.0722678
C 8 18 -0.653859
C 8 19 0.104801
C 10 10 9.71151
C 10 11 0.380108
C 10 12 -0.552812
C 10 13 0.955718
C 10 14 -0.17658
C 10 15 0.131626
C 10 16 0.95172
C 10 17 -0.0278329
C 10 18 0.0559099
C 10 19 0.131626
C 11 11 8.88156
C 11 12 0.721641
C 11 13 -0.0146794
C 11 14 0.707907
C 11 15 -0.217566
C 11 16 0.16892
C 11 17 -0.340983
C 11 18 0.367565
C 11 19 0.802393
C 12 12 10.189
C 12 13 0.798181
C 12 14 0.14481
C 12 15 -0.402417
C 12 16 0.13654
C 12 17 -0.0661641
C 12 18 -0.573351
C 12 19 -0.548051
C 13 13 9.25395
C 13 14 -0.808039
C 13 15 0.284249
C 13 16 0.89523
C 13 17 0.743797
C 13 18 0.361126
C 13 19 0.228492
C 14 14 8.40558
C 14 15 0.542405
C 14 16 -0.0538041
C 14 17 -0.524674
C 14 18 -0.0946684
C 14 19 -0.891537
C 15 15 9.46003
C 15 16 -0.931639
C 15 17 -0.0470901
C 15 18 0.336406
C 15 19 -0.398602
C 16 16 11.3699
C 16 17 0.534227
C 16 18 -0.693533
C 16 19 -0.259163
C 17 17 8.2202
C 17 18 -0.398694
C 17 19 -0.585559
C 18 18 8.41221
C 18 19 0.435499
C 19 19 11.0019
